run       : eixo1_resnet50_s1
arch      : resnet50 (pretrained=True)  seed=1
manifesto : v2 ed5c1eb749ec9e72...  mask=None
fit/val/test: 175,591 / 19,511 / 83,613 imgs  (11,805 / 2,268 / 6,044 sujeitos)
batch 96 | steps/epoch 1,829 | epochs 30 | warmup 2 ep | early stop patience off
val 1/30:   0%|          | 0/102 [00:00<?, ?it/s]
val 21/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 21/30: train 0.0016/0.9995 | val loss 0.0146 acc 0.9969 f1 0.9969 err 0.3075% * | 164s 1074 img/s
val 22/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 22/30: train 0.0012/0.9997 | val loss 0.0148 acc 0.9971 f1 0.9971 err 0.2921% * | 169s 1041 img/s
val 23/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 23/30: train 0.0010/0.9997 | val loss 0.0153 acc 0.9970 f1 0.9971 err 0.2973%  | 170s 1032 img/s
val 24/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 24/30: train 0.0007/0.9998 | val loss 0.0152 acc 0.9970 f1 0.9970 err 0.2973%  | 166s 1057 img/s
val 25/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 25/30: train 0.0005/0.9999 | val loss 0.0148 acc 0.9972 f1 0.9973 err 0.2768% * | 162s 1085 img/s
val 26/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 26/30: train 0.0005/0.9999 | val loss 0.0153 acc 0.9971 f1 0.9971 err 0.2921%  | 162s 1084 img/s
val 27/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 27/30: train 0.0004/0.9999 | val loss 0.0156 acc 0.9970 f1 0.9970 err 0.2973%  | 162s 1085 img/s
val 28/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 28/30: train 0.0005/0.9999 | val loss 0.0155 acc 0.9973 f1 0.9973 err 0.2665% * | 163s 1078 img/s
val 29/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 29/30: train 0.0004/0.9999 | val loss 0.0155 acc 0.9972 f1 0.9973 err 0.2768%  | 162s 1083 img/s
val 30/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 30/30: train 0.0004/0.9999 | val loss 0.0158 acc 0.9972 f1 0.9972 err 0.2768%  | 162s 1086 img/s
test:   0%|          | 0/436 [00:00<?, ?it/s]
TESTE (best.pt, epoca 28): acc 0.9980  f1 0.9980  erro 0.1973% (165 / 83613)
-> runs/eixo1_resnet50_s1/metrics.json
